VisitCode,Amount
XA-1193961,195
XA-1234414,195
XA-1250805,195
XA-1194042,195
XA-1187472,195
XA-1254565,195
XA-1187772,195
XA-1148488,195
XA-1216764,195
XA-1228731,195
XA-1238669,195
XA-1170047,195
XA-1194016,195
XA-1142647,195
XA-1261928,195
XA-1255862,195
XA-1222659,195
XA-1240421,195
XA-1268849,195
XA-1142544,195
XA-1252305,195
XA-1198231,195
XA-1249509,195
XA-1176536,195
XA-1185428,195
XA-1250177,195
XA-1193910,195
XA-1198218,195
XA-1224093,195
XA-1193079,195
XA-1247780,195
XA-1205352,195
XA-1202754,195
XA-1146562,195
XA-1209725,195
XA-1244169,195
XA-1205369,195
XA-1226202,195
XA-1148135,195
XA-1242734,195
XA-1198240,195
XA-1198225,195
XA-1185069,195
XA-1237029,195
XA-1167106,195
XA-1252333,195
XA-1193098,195
XA-1144599,195
XA-1157415,195
XA-1234318,195
XA-1148233,195
XA-1257611,195
XA-1208418,195
XA-1210540,195
XA-1166825,195
XA-1268706,195
XA-1217798,195
XA-1237060,195
XA-1191775,195
XA-1152312,195
XA-1183476,195
XA-1176504,195
XA-1167074,195
XA-1154282,195
XA-1249915,195
XA-1230757,195
XA-1186120,195
XA-1209601,195
XA-1169619,195
XA-1240270,195
XA-1169848,195
XA-1140205,195
XA-1209749,195
XA-1212816,195
XA-1194026,195
XA-1174529,195
XA-1199736,195
XA-1199733,195
XA-1174483,195
XA-1166902,195
XA-1246712,195
XA-1198196,195
XA-1251001,195
XA-1186161,195
XA-1177949,195
XA-1196076,195
XA-1246347,195
XA-1176350,195
XA-1172831,195
XA-1247733,195
XA-1255668,195
XA-1178953,195
XA-1208117,195
XA-1257757,195
XA-1194056,195
XA-1218693,195
XA-1218727,195
XA-1249751,195
XA-1218656,195
XA-1222440,195
XA-1260783,195
XA-1205374,195
XA-1254818,195
XA-1161800,195
XA-1255926,195
XA-1203878,195
XA-1146832,195
XA-1169932,195
XA-1250165,195
XA-1142314,195
XA-1197345,195
XA-1230748,195
XA-1150427,195
XA-1208313,195
XA-1193160,195
XA-1255481,195
XA-1185168,195
XA-1207970,195
XA-1162688,195
XA-1194098,195
XA-1154577,195
XA-1166299,195
XA-1183340,195
XA-1152333,195
XA-1220436,195
XA-1194079,195
XA-1185101,195
XA-1142280,195
XA-1238598,195
XA-1228689,195
XA-1188926,195
XA-1230762,195
XA-1202696,195
XA-1186225,195
XA-1167294,195
XA-1255806,195
XA-1190070,195
XA-1220032,195
XA-1186132,195
XA-1246388,195
XA-1152231,195
XA-1204295,195
XA-1196213,195
XA-1146323,195
XA-1180233,195
XA-1148642,195
XA-1267716,195
XA-1255356,195
XA-1162215,195
XA-1221324,195
XA-1254252,195
XA-1220092,195
XA-1184090,195
XA-1220455,195
XA-1212912,195
XA-1202731,195
XA-1180215,195
XA-1264154,195
XA-1171719,195
XA-1178924,195
XA-1142493,195
XA-1193177,195
XA-1240409,195
XA-1237135,195
XA-1178670,195
XA-1188790,195
XA-1196339,195
XA-1172929,195
XA-1224044,195
XA-1161827,195
XA-1208422,195
XA-1174500,195
XA-1220834,195
XA-1194067,195
XA-1206978,195
XA-1206934,195
XA-1172812,195
XA-1267696,195
XA-1241522,195
XA-1262044,195
XA-1254845,195
XA-1196243,195
XA-1257803,195
XA-1178546,195
XA-1208047,195
XA-1252346,195
XA-1191578,195
XA-1183512,195
XA-1151719,195
XA-1206864,195
XA-1267216,195
XA-1169546,195
XA-1201684,195
XA-1187719,195
XA-1174547,195
XA-1190108,195
XA-1154495,195
XA-1247729,195
XA-1147262,195
XA-1169693,195
XA-1229822,195
XA-1201385,195
XA-1212979,195
XA-1199738,195
XA-1214488,195
XA-1226993,195
XA-1212855,195
XA-1167318,195
XA-1258014,195
XA-1264382,195
XA-1229896,195
XA-1202750,195
XA-1172881,195
XA-1249495,195
XA-1177961,195
XA-1230061,195
XA-1196261,195
XA-1222638,195
XA-1142636,195
XA-1212874,195
XA-1167286,195
XA-1187687,195
XA-1214606,195
XA-1191640,195
XA-1183361,195
XA-1237107,195
XA-1182090,195
XA-1218723,195
XA-1230048,195
XA-1201253,195
XA-1262065,195
XA-1221185,195
XA-1221011,195
XA-1206972,195
XA-1240108,195
XA-1186198,195
XA-1218749,195
XA-1250703,195
XA-1152000,195
XA-1261969,195
XA-1249566,195
XA-1267553,195
XA-1140278,195
XA-1186155,195
XA-1176475,195
XA-1188951,195
XA-1188946,195
XA-1196391,195
XA-1244137,195
XA-1183433,195
XA-1193133,195
XA-1242809,195
XA-1218756,195
XA-1147252,195
XA-1208387,195
XA-1185356,195
XA-1170069,195
XA-1241541,195
XA-1252228,195
XA-1174776,195
XA-1202877,195
XA-1185849,195
XA-1248210,195
XA-1238182,195
XA-1185830,195
XA-1146843,195
XA-1185991,195
XA-1170050,195
XA-1248142,195
XA-1189710,195
XA-1235997,195
XA-1180346,195
XA-1197316,195
XA-1253385,195
XA-1248386,195
XA-1202781,195
XA-1247250,195
XA-1194224,195
XA-1169826,195
XA-1254902,195
XA-1178555,195
XA-1210790,195
XA-1245113,195
XA-1219806,195
XA-1194509,195
XA-1247974,195
XA-1144661,195
XA-1165434,195
XA-1262263,195
XA-1178833,195
XA-1211467,195
XA-1197487,195
XA-1162447,195
XA-1150974,195
XA-1187696,195
XA-1228064,195
XA-1178954,195
XA-1136319,195
XA-1153362,195
XA-1250089,195
XA-1136354,195
XA-1169956,195
XA-1217228,195
XA-1227315,195
XA-1185185,195
XA-1183613,195
XA-1184594,195
XA-1202785,195
XA-1203769,195
XA-1182821,195
XA-1219799,195
XA-1168407,195
XA-1210799,195
XA-1146312,195
XA-1170090,195
XA-1242498,195
XA-1211534,195
XA-1199977,195
XA-1254874,195
XA-1219802,195
XA-1251334,195
XA-1182769,195
XA-1184440,195
XA-1183770,195
XA-1253460,195
XA-1256163,195
XA-1248301,195
XA-1154326,195
XA-1161796,195
XA-1264231,195
XA-1218843,195
XA-1170063,195
XA-1140857,195
XA-1162463,195
XA-1238558,195
XA-1220775,195
XA-1197569,195
XA-1227352,195
XA-1182744,195
XA-1265180,195
XA-1242542,195
XA-1220764,195
XA-1214512,195
XA-1210673,195
XA-1183663,195
XA-1157668,195
XA-1159702,195
XA-1239885,195
XA-1245098,195
XA-1199100,195
XA-1150922,195
XA-1224874,195
XA-1170071,195
XA-1202804,195
XA-1162408,195
XA-1211494,195
XA-1191495,195
XA-1191427,195
XA-1236219,195
XA-1186164,195
XA-1185163,195
XA-1254507,195
XA-1154583,195
XA-1194117,195
XA-1182903,195
XA-1219808,195
XA-1168429,195
XA-1191543,195
XA-1210781,195
XA-1151142,195
XA-1157302,195
XA-1138062,195
XA-1238403,195
XA-1203762,195
XA-1259032,195
XA-1199130,195
XA-1169656,195
XA-1269658,195
XA-1253738,195
XA-1151066,195
XA-1208918,195
XA-1168372,195
XA-1180160,195
XA-1138105,195
XA-1170004,195
XA-1177897,195
XA-1146810,195
XA-1185971,195
XA-1202932,195
XA-1168471,195
XA-1213595,195
XA-1185218,195
XA-1253309,195
XA-1172717,195
XA-1256027,195
XA-1184411,195
XA-1227331,195
XA-1156573,195
XA-1157761,195
XA-1215413,195
XA-1220752,195
XA-1154343,195
XA-1154540,195
XA-1255126,195
XA-1210609,195
XA-1136161,195
XA-1192765,195
XA-1211508,195
XA-1198867,195
XA-1157750,195
XA-1247214,195
XA-1149040,195
XA-1168112,195
XA-1156281,195
XA-1225245,195
XA-1210461,195
XA-1210647,195
XA-1205939,195
XA-1247059,195
XA-1182716,195
XA-1157781,195
XA-1168301,195
XA-1228165,195
XA-1161769,195
XA-1165372,195
XA-1241019,195
XA-1256438,195
XA-1172843,195
XA-1248673,195
XA-1191175,195
XA-1165409,195
XA-1138165,195
XA-1169928,195
XA-1138027,195
XA-1194738,195
XA-1146415,195
XA-1185014,195
XA-1202825,195
XA-1191610,195
XA-1175077,195
XA-1213581,195
XA-1187640,195
XA-1150882,195
XA-1253801,195
XA-1194630,195
XA-1255045,195
XA-1137981,195
XA-1203765,195
XA-1185242,195
XA-1242478,195
XA-1208775,195
XA-1210797,195
XA-1165448,195
XA-1202777,195
XA-1197596,195
XA-1157637,195
XA-1157769,195
XA-1161821,195
XA-1165259,195
XA-1219798,195
XA-1202814,195
XA-1191441,195
XA-1251255,195
XA-1219804,195
XA-1258987,195
XA-1203771,195
XA-1243871,195
XA-1168603,195
XA-1214465,195
XA-1146328,195
XA-1159828,195
XA-1248338,195
XA-1146607,195
XA-1202862,195
XA-1198804,195
XA-1201224,195
XA-1224776,195
XA-1228122,195
XA-1201175,195
XA-1236236,195
XA-1256593,195
XA-1146379,195
XA-1245155,195
XA-1256620,195
XA-1163839,195
XA-1219500,195
XA-1185567,195
XA-1134149,195
XA-1197734,195
XA-1257115,195
XA-1183127,195
XA-1159746,195
XA-1213599,195
XA-1207877,195
XA-1175100,195
XA-1197905,195
XA-1137773,195
XA-1243282,195
XA-1202854,195
XA-1232275,195
XA-1152699,195
XA-1156245,195
XA-1158353,195
XA-1195798,195
XA-1194932,195
XA-1194358,195
XA-1193800,195
XA-1183916,195
XA-1193538,195
XA-1195849,195
XA-1144260,195
XA-1146743,195
XA-1210791,195
XA-1265099,195
XA-1221636,195
XA-1222474,195
XA-1159812,195
XA-1179033,195
XA-1258833,195
XA-1232273,195
XA-1193675,195
XA-1174403,195
XA-1195818,195
XA-1187117,195
XA-1180091,195
XA-1233096,195
XA-1143165,195
XA-1185638,195
XA-1200471,195
XA-1200261,195
XA-1156193,195
XA-1224740,195
XA-1193455,195
XA-1174336,195
XA-1200191,195
XA-1175377,195
XA-1228107,195
XA-1212416,195
XA-1171623,195
XA-1160715,195
XA-1246983,195
XA-1142978,195
XA-1202939,195
XA-1204242,195
XA-1221650,195
